userName	Password	LastName	FirstName	Checking Account	Savings Account
james    	hola    	Taylor   	Sarah    	147                   	340
tylor    	yoyo    	Thomas   	Jessica    	847                   	612
Anthony    	pass123    	Keroles   	Emily    	830                   	23
Nick    	yoyo    	Keroles   	John    	267                   	982
tylor    	hola2    	Thomas   	Michael    	882                   	920
daniel    	hola2    	Anderson   	Sarah    	486                   	733
Nick    	letmein    	Taylor   	Jessica    	188                   	98
tylor    	hola2    	Moore   	Jessica    	159                   	83
Anthony    	qwerty    	Johnson   	Michael    	290                   	668
jessica    	world    	Smith   	Daniel    	502                   	351
